optimizer,best_params,run,score
IGWO,"[5.79956364e-01 1.00000000e+00 8.95678761e-01 4.17459787e+01
 8.76466970e+01 9.78755255e+01 4.51375702e-01 4.93608376e-01
 1.15743712e-01 8.66521784e-02 1.12556976e+02 8.86761200e+00
 1.23434947e+02 5.45922456e-01]",55,2710.6194004334675
IGWO,"[8.83312910e-01 8.88198068e-01 9.07183386e-01 7.47533451e+01
 5.37700363e+01 2.89948368e+01 8.23517254e-01 8.67039098e-01
 8.32116569e-02 3.94924152e-01 1.07310432e+02 7.67175975e+01
 6.01108281e+01 8.97708736e-01]",56,2906.3100052817376
IGWO,"[9.88685550e-01 1.31639393e-01 2.86645657e-01 7.25658072e+01
 1.07147122e+02 1.77431947e+02 3.45419477e-01 4.59831690e-01
 1.39550446e-02 1.20931261e-01 1.06060871e+02 1.08112257e+02
 1.51249682e+02 2.66758936e-01]",57,2246.3100489482154
IGWO,"[  0.           0.24458128   0.41286489  52.51414173  73.56368752
 142.219985     0.50043487   0.40420087   0.38406606   0.25902907
 111.81156474   5.          27.38336562   0.64998863]",58,2528.0636554146795
IGWO,"[1.00000000e+00 6.62922956e-01 4.45842547e-01 7.55301509e+01
 5.01011840e+01 9.18895237e+01 3.94711851e-01 6.60255156e-01
 1.00781278e-01 1.49938728e-01 1.00245146e+02 1.79362514e+02
 2.92774739e+01 3.97209843e-01]",59,3044.473623081949
IGWO,"[4.80641334e-02 5.25550160e-01 3.01023485e-01 6.66128871e+01
 7.20549521e+01 6.34478447e+01 5.13440292e-01 5.33986113e-01
 2.03294227e-01 4.30568916e-02 1.10308442e+02 6.33095011e+00
 1.40509113e+02 1.93736396e-01]",60,2360.247221772646
IGWO,"[2.72505121e-02 1.00000000e+00 3.59211968e-01 4.22623527e+01
 9.10488103e+01 1.37473103e+02 4.03361211e-01 7.55222387e-01
 2.32125273e-01 2.11804679e-01 1.06946399e+02 1.14518380e+02
 7.41532726e+01 3.41236631e-01]",61,2817.8854346646935
IGWO,"[5.71843156e-02 1.00000000e+00 1.14895509e-01 9.74245264e+01
 8.58356506e+01 7.83208234e+01 7.19517806e-01 1.42424215e-01
 1.43068112e-06 3.10541215e-05 1.06581258e+02 1.84686836e+01
 6.42325408e+01 3.51277782e-01]",62,2965.6063217228393
IGWO,"[6.49639238e-02 9.65377353e-01 8.04989648e-02 9.29262525e+01
 1.03979703e+02 1.75782872e+02 2.54842348e-01 6.98306037e-01
 4.64978114e-02 7.90337411e-04 1.02877263e+02 1.67033020e+02
 6.79771451e+01 1.00000000e-01]",63,2802.005099216047
IGWO,"[  0.90319258   0.38340332   0.46260323  66.6899077   24.6505182
  96.98778363   0.57340025   0.63722717   0.39708317   0.27101586
 101.32776182 156.64692745  18.45074343   0.40642834]",64,2578.3757462961244
IGWO,"[6.48471169e-01 1.62306051e-01 2.90914331e-01 8.02212020e+01
 2.91480861e+01 1.28627045e+02 1.00211475e-01 4.49607264e-01
 5.41022592e-03 1.48143969e-01 9.83429536e+01 1.95166601e+02
 1.48460600e+02 1.62578907e-01]",65,2822.9922817616252
IGWO,"[  0.86623187   0.54370934   0.37829487  71.1920012   54.00637653
  12.33889457   0.47297481   0.72914934   0.34485538   0.15601314
 101.23676871 145.70220099  53.63600291   0.73483326]",66,3294.4491381186795
IGWO,"[  0.73624484   0.34892264   0.84551378  71.41053308 176.67201864
  23.17730245   0.63464921   0.47373749   0.56650157   0.70948814
 114.72815234 129.66543097  54.87648245   0.62082622]",67,2255.231809646903
IGWO,"[7.14555970e-01 8.53543476e-01 5.40737251e-02 6.86321708e+01
 1.66628351e+02 1.84502882e+02 6.27625180e-01 8.49953232e-01
 5.34284709e-01 3.05414835e-04 1.25149310e+02 9.25255672e+01
 1.79196690e+02 6.85218750e-01]",68,2218.960955206204
